unique_id,ms_locations
٥٢٠٠١,"[{""library"": ""شستربيتي"", ""country"": ""ايرلندا"", ""city"": ""دبلن"", ""catalog_num"": ""٤/٣٨٧٠""}, {""library"": ""المكتبة المركزيه بجامعه الامام محمد بن سعود الاسلاميه"", ""country"": ""المملكة العربية السعودية"", ""city"": ""الرياض"", ""catalog_num"": ""٣٨٧٠""}]"
٥٢٠٠٢,"[{""library"": ""شستربيتي"", ""country"": ""ايرلندا"", ""city"": ""دبلن"", ""catalog_num"": ""٤/٣٨٧١""}, {""library"": ""مكتبة الشيخ صالح المحمد الخريصي"", ""country"": ""المملكة العربية السعودية"", ""city"": ""القصيم""}]"
٥٢٠٠٣,"[{""library"": ""شستربيتي"", ""country"": ""ايرلندا"", ""city"": ""دبلن"", ""catalog_num"": ""٤/٣٨٧٢""}]"
٥٢٠٠٤,"[{""library"": ""شستربيتي"", ""country"": ""ايرلندا"", ""city"": ""دبلن"", ""catalog_num"": ""٤/٣٨٧٤""}]"
٥٢٠٠٦,"[{""library"": ""شستربيتي"", ""country"": ""ايرلندا"", ""city"": ""دبلن"", ""catalog_num"": ""٤/٣٨٧٥""}]"
٥٢٠٠٧,"[{""library"": ""شستربيتي"", ""country"": ""ايرلندا"", ""city"": ""دبلن"", ""catalog_num"": ""٤/٣٨٧٧ (١)""}]"
٥٢٠٠٨,"[{""library"": ""شستربيتي"", ""country"": ""ايرلندا"", ""city"": ""دبلن"", ""catalog_num"": ""٤/٣٨٧٧ (٢)""}]"
٥٢٠٠٩,"[{""library"": ""شستربيتي"", ""country"": ""ايرلندا"", ""city"": ""دبلن"", ""catalog_num"": ""٤/٣٨٧٨""}]"
٥٢٠١٠,"[{""library"": ""شستربيتي"", ""country"": ""ايرلندا"", ""city"": ""دبلن"", ""catalog_num"": ""٤/٣٨٨٠""}]"
٥٢٠١١,"[{""library"": ""شستربيتي"", ""country"": ""ايرلندا"", ""city"": ""دبلن"", ""catalog_num"": ""٤/٣٨٨١ (١)""}]"
٥٢٠١٢,"[{""library"": ""شستربيتي"", ""country"": ""ايرلندا"", ""city"": ""دبلن"", ""catalog_num"": ""٤/٣٨٨١ (٢)""}]"
٥٢٠١٣,"[{""library"": ""شستربيتي"", ""country"": ""ايرلندا"", ""city"": ""دبلن"", ""catalog_num"": ""٤/٣٨٨٢""}]"
