unique_id,ms_locations
٧٧٠٠١,"[{""library"": ""المكتبة الآصفيه"", ""country"": ""الهند"", ""city"": ""حيدرآباد"", ""catalog_num"": ""٢/١٠٩٠ رقم ١٤٨""}]"
٧٧٠٠٢,"[{""library"": ""مكتبة برنستون (مجموعه جاريت)"", ""country"": ""الولايات المتحدة الأمريكية"", ""city"": ""برنستون"", ""catalog_num"": ""مجموعه بريل اول ٤٣٥, ثان ٩٢٢""}, {""library"": ""جاريت"", ""country"": ""امريكا"", ""city"": ""برنستون"", ""catalog_num"": ""١٨٧٤, ٢١١٢/٤""}, {""library"": ""مكتبة البلديه"", ""country"": ""مصر"", ""city"": ""الاسكندريه"", ""catalog_num"": ""فرائض ٧ (مخطوط من سنه ١١٣٣هـ)""}]"
٧٧٠٠٣,"[{""library"": ""مكتبة الاوقاف بالموصل"", ""country"": ""العراق"", ""city"": ""الموصل"", ""catalog_num"": ""١١١ رقم ١٦٤""}]"
٧٧٠٠٤,"[{""library"": ""دار الكتب المصريه"", ""country"": ""مصر"", ""city"": ""القاهرة"", ""catalog_num"": ""١/٥٦٣""}, {""library"": ""مكتبة البلديه"", ""country"": ""مصر"", ""city"": ""الاسكندريه"", ""catalog_num"": ""فرائض ٥""}]"
٧٧٠٠٥,"[{""library"": ""خدابخش"", ""country"": ""الهند"", ""city"": ""بتنه"", ""catalog_num"": ""١/١١٠ رقم ١١٠٨""}, {""library"": ""خدابخش"", ""country"": ""الهند"", ""city"": ""بتنه"", ""catalog_num"": ""١٩ (٢) رقم ١٩٥٠""}]"
٧٧٠٠٦,"[{""library"": ""خدابخش"", ""country"": ""الهند"", ""city"": ""بتنه"", ""catalog_num"": ""١٩ (٢) رقم ١٩٦١/١""}]"
٧٧٠٠٧,"[{""library"": ""مكتبة البلديه"", ""country"": ""مصر"", ""city"": ""الاسكندريه"", ""catalog_num"": ""فرائض ١٣""}]"
٧٧٠٠٨,"[{""library"": ""هاوبت"", ""country"": ""المانيا"", ""catalog_num"": ""١٥٧""}]"
٧٧٠٠٩,"[{""library"": ""هاوبت"", ""country"": ""المانيا"", ""catalog_num"": ""١٥٧""}]"
٧٧٠١٠,"[{""library"": ""جوتا"", ""country"": ""المانيا"", ""city"": ""جوتا"", ""catalog_num"": ""١١٠٣""}]"
٧٧٠١١,"[{""library"": ""ميونخ"", ""country"": ""المانيا"", ""city"": ""ميونيخ"", ""catalog_num"": ""٣١٣/٢, ٣٢٢/٢""}, {""library"": ""الوطنيه"", ""country"": ""فرنسا"", ""city"": ""باريس"", ""catalog_num"": ""١٢٦٦/٧""}]"
٧٧٠١٢,"[{""library"": ""المكتبة الوطنيه بباريس"", ""country"": ""فرنسا"", ""city"": ""باريس"", ""catalog_num"": ""٨٦٧/٤""}, {""library"": ""مكتبة المعهد العالي للدراسات الاسلاميه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٨٧/١""}, {""library"": ""مكتبة برنستون"", ""country"": ""الولايات المتحدة الأمريكية"", ""city"": ""برنستون"", ""catalog_num"": ""٥٥٤٤""}]"
٧٧٠١٣,"[{""library"": ""دار الكتب المصريه"", ""country"": ""مصر"", ""city"": ""القاهرة"", ""catalog_num"": ""١/٥٥٨""}]"
٧٧٠١٤,"[{""library"": ""المتحف البريطاني"", ""country"": ""انجلترا"", ""city"": ""لندن"", ""catalog_num"": ""ملحق ٢٧٢/٢""}, {""library"": ""مكتبة الظاهريه"", ""country"": ""سوريا"", ""city"": ""دمشق"", ""catalog_num"": ""٤٢٣٣""}]"
٧٧٠١٥,"[{""library"": ""المتحف البريطاني"", ""country"": ""انجلترا"", ""city"": ""لندن"", ""catalog_num"": ""ملحق ٢٧٢/٢""}]"
٧٧٠١٦,"[{""library"": ""مكتبة المخطوطات"", ""country"": ""الكويت"", ""city"": ""الكويت"", ""catalog_num"": ""٢٢٠٧ عن شستربيتي ٣٧٠٨/٢""}]"
٧٧٠١٨,"[{""library"": ""مكتبة المخطوطات"", ""country"": ""الكويت"", ""city"": ""الكويت"", ""catalog_num"": ""٣٨٥٩ عن شستربيتي ٥٣٦٢""}]"
٧٧٠٢٠,"[{""library"": ""شستربيتي"", ""country"": ""الكويت"", ""city"": ""الكويت"", ""catalog_num"": ""٣٥٢٤ عن شستربيتي ٥٠٢٧""}, {""library"": ""شستربيتي"", ""country"": ""ايرلندا"", ""city"": ""دبلن"", ""catalog_num"": ""٥٠٢٧""}, {""library"": ""المكتبة المركزيه بجامعه الامام محمد بن سعود الاسلاميه"", ""country"": ""المملكة العربية السعودية"", ""city"": ""الرياض"", ""catalog_num"": ""٧١٧٢,٥٠٢٧""}]"
٧٧٠٢١,"[{""library"": ""معهد المخطوطات العربية"", ""country"": ""الكويت"", ""city"": ""الكويت"", ""catalog_num"": ""١٢٠١ عن مكتبة الاحقاف باليمن مجموعه الرباط ١٦٦""}, {""library"": ""المكتبة"", ""country"": ""اليمن"", ""city"": ""صنعاء"", ""catalog_num"": ""علم الكلام ١٣""}, {""catalog_num"": ""ادب ٦""}, {""library"": ""مكتبة عبد الله بن محمد بن محمد غمضان"", ""country"": ""اليمن"", ""city"": ""صنعاء"", ""catalog_num"": ""٧٢٥""}]"
