unique_id,ms_locations
٨٢٠٠١,"[{""library"": ""الخزانه الملكيه (الحسنيه)"", ""country"": ""المغرب"", ""city"": ""الرباط"", ""catalog_num"": ""١٦١""}]"
٨٢٠٠٢,"[{""library"": ""الخزانه الملكيه (الحسنيه)"", ""country"": ""المغرب"", ""city"": ""الرباط"", ""catalog_num"": ""١٠٢٧٥""}]"
٨٢٠٠٣,"[{""library"": ""الخزانه الملكيه (الحسنيه)"", ""country"": ""المغرب"", ""city"": ""الرباط"", ""catalog_num"": ""٣٢٥٢,٤٢٦٢,٢٨١""}, {""library"": ""الخزانه العامه"", ""country"": ""المغرب"", ""city"": ""الرباط"", ""catalog_num"": ""٦٣٩ D,١١٦٠ D""}]"
٨٢٠٠٤,"[{""library"": ""الخزانه الملكيه (الحسنيه)"", ""country"": ""المغرب"", ""city"": ""الرباط"", ""catalog_num"": ""مجموع ٣٧٧٢""}]"
٨٢٠٠٥,"[{""library"": ""الخزانه الملكيه (الحسنيه)"", ""country"": ""المغرب"", ""city"": ""الرباط"", ""catalog_num"": ""٣١٨٩""}]"
٨٢٠٠٦,"[{""library"": ""الخزانه الملكيه (الحسنيه)"", ""country"": ""المغرب"", ""city"": ""الرباط"", ""catalog_num"": ""١٠٣٣٩""}]"
٨٢٠٠٧,"[{""library"": ""الخزانه الملكيه (الحسنيه)"", ""country"": ""المغرب"", ""city"": ""الرباط"", ""catalog_num"": ""١٠٣٤١""}]"
٨٢٠٠٨,"[{""library"": ""الخزانه الملكيه (الحسنيه)"", ""country"": ""المغرب"", ""city"": ""الرباط"", ""catalog_num"": ""١٠٣٤٠""}]"
٨٢٠٠٩,"[{""library"": ""الخزانه الملكيه (الحسنيه)"", ""country"": ""المغرب"", ""city"": ""الرباط"", ""catalog_num"": ""٥٦٥٨,٦٩٠٤""}]"
٨٢٠١٠,"[{""library"": ""الخزانه الملكيه (الحسنيه)"", ""country"": ""المغرب"", ""city"": ""الرباط"", ""catalog_num"": ""١٢١""}]"
٨٢٠١١,"[{""library"": ""الخزانه الملكيه (الحسنيه)"", ""country"": ""المغرب"", ""city"": ""الرباط"", ""catalog_num"": ""٥٦٥٦""}]"
٨٢٠١٢,"[{""library"": ""الخزانه الملكيه (الحسنيه)"", ""country"": ""المغرب"", ""city"": ""الرباط"", ""catalog_num"": ""١٠٣٧١""}]"
٨٢٠١٣,"[{""library"": ""الخزانه الملكيه (الحسنيه)"", ""country"": ""المغرب"", ""city"": ""الرباط"", ""catalog_num"": ""٢٦٣٩""}]"
٨٢٠١٤,"[{""library"": ""الخزانه الملكيه (الحسنيه)"", ""country"": ""المغرب"", ""city"": ""الرباط"", ""catalog_num"": ""٨٧٨٧""}]"
٨٢٠١٥,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""١٠١٩""}]"
٨٢٠١٦,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""١٠٣٧""}, {""library"": ""دار الكتب الوطنيه"", ""country"": ""تونس"", ""city"": ""تونس"", ""catalog_num"": ""رقم التسلسل ٢٦٩١""}, {""library"": ""المكتبة الازهريه"", ""country"": ""مصر"", ""city"": ""القاهرة"", ""catalog_num"": ""[١٧٣٠] زكي ٤١٧٢٢, [١٥٦ مجاميع] ٣٥٧٨""}]"
٨٢٠١٧,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""١٠٠٠/١""}, {""library"": ""معهد المخطوطات العربية"", ""country"": ""مصر"", ""city"": ""القاهرة"", ""catalog_num"": ""٣٦ عن فاتح ٣٢١٧, ٣٧ عن لاله لي ٢٥٦٠""}, {""library"": ""المكتبة الازهريه"", ""country"": ""مصر"", ""city"": ""القاهرة"", ""catalog_num"": ""[٣٨٨] ١٥٩٨٢""}]"
٨٢٠١٨,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""١٠٠٠/٢""}]"
٨٢٠١٩,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٢٠٣""}, {""catalog_num"": ""١٠٤١""}]"
٨٢٠٢٠,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٢٠٤""}]"
٨٢٠٢١,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٩٤٨/١""}]"
٨٢٠٢٢,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٩٤٨/٢""}]"
٨٢٠٢٣,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٩٤٨/٤""}]"
٨٢٠٢٤,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٢٠٥""}]"
٨٢٠٢٥,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٢٠٦/١""}, {""library"": ""معهد المخطوطات العربية"", ""country"": ""مصر"", ""city"": ""القاهرة"", ""catalog_num"": ""٢٧٢/١ عن اياصوفيا ٢١٤٤, ٢٧٣ عن ٢٤٦٠/٢""}]"
٨٢٠٢٦,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٢٠٦/٢""}]"
٨٢٠٢٧,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٢٠٦/٣""}]"
٨٢٠٢٨,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٢٠٦/٤""}]"
٨٢٠٢٩,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٢٠٦/٢""}]"
٨٢٠٣٠,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٢٠٦/٣""}]"
٨٢٠٣١,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٢٠٦/٤""}]"
٨٢٠٣٢,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٢٠٨""}]"
٨٢٠٣٣,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٩٥٠/١٠٤""}, {""catalog_num"": ""٩٥٣""}]"
٨٢٠٣٤,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٢٢١""}]"
٨٢٠٣٥,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٢١٤""}]"
٨٢٠٣٦,"[{""library"": ""مكتبة الجامعه"", ""country"": ""لبنان"", ""city"": ""بيروت"", ""catalog_num"": ""٩٤٥""}]"
